Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,83,32630,25205,13918,3343,5256,193,2169,14414,279,1691
C:\development\linkage,83,32630,25205,13918,3343,5256,193,2169,14414,279,1691
